Treatment,Season,PhytoTaxa,Mean_cells.mL,Total_cells.mL,Total_cells.mL_SD,
Cnt_t0,Autumn,Ciliates,5.817766667,107.512328,17.05786648,
Cnt_t0,Autumn,Rhodomonas minuta,10.23926933,107.512328,17.05786648,
Cnt_t0,Autumn,Cryptomonas,1.396264,107.512328,17.05786648,
Cnt_t0,Autumn,Chroomonas,2.094396,107.512328,17.05786648,
Cnt_t0,Autumn,Chromulina,2.094396,107.512328,17.05786648,
Cnt_t0,Autumn,Dinobryon sociale,0,107.512328,17.05786648,
Cnt_t0,Autumn,Gymnodinium,0.930842667,107.512328,17.05786648,
Cnt_t0,Autumn,Chrysochromulina parva,0,107.512328,17.05786648,
Cnt_t0,Autumn,Pyramimonadales,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Monoraphidium minutum,14.42806133,107.512328,17.05786648,
Cnt_t0,Autumn,Monoraphidium contortum,0,107.512328,17.05786648,
Cnt_t0,Autumn,Chlamydomonas,5.585056,107.512328,17.05786648,
Cnt_t0,Autumn,Cosmarium,1.163553333,107.512328,17.05786648,
Cnt_t0,Autumn,Kirchneriella obesa,10.00655867,107.512328,17.05786648,
Cnt_t0,Autumn,Raphidocelis,0.232710667,107.512328,17.05786648,
Cnt_t0,Autumn,Closterium acutum,18.151432,107.512328,17.05786648,
Cnt_t0,Autumn,Closterium,0,107.512328,17.05786648,
Cnt_t0,Autumn,Oocystis,0.232710667,107.512328,17.05786648,
Cnt_t0,Autumn,Coenococcus planctonicus,1.163553333,107.512328,17.05786648,
Cnt_t0,Autumn,Radiococcus polycoccus,6.98132,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinder,5.119634667,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinderLong,0.465421333,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cylinderSmall,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_cones,3.025238667,107.512328,17.05786648,
Cnt_t0,Autumn,Pennate_conesFat,0,107.512328,17.05786648,
Cnt_t0,Autumn,Tabellaria fenestrate,0.465421333,107.512328,17.05786648,
Cnt_t0,Autumn,Tabellaria flocculosa,0.698132,107.512328,17.05786648,
Cnt_t0,Autumn,Asterionella formosa,3.723370667,107.512328,17.05786648,
Cnt_t0,Autumn,Aulacoseira alpigena,2.327106667,107.512328,17.05786648,
Cnt_t0,Autumn,Aulacoseira distans,1.163553333,107.512328,17.05786648,
Cnt_t0,Autumn,Aulacoseira subarctica,0,107.512328,17.05786648,
Cnt_t0,Autumn,Cyclotella,8.610294667,107.512328,17.05786648,
Cnt_t0,Winter,Ciliates,4.188792,66.08982933,14.64968635,
Cnt_t0,Winter,Rhodomonas minuta,1.396264,66.08982933,14.64968635,
Cnt_t0,Winter,Cryptomonas,0,66.08982933,14.64968635,
Cnt_t0,Winter,Chroomonas,0,66.08982933,14.64968635,
Cnt_t0,Winter,Chromulina,0,66.08982933,14.64968635,
Cnt_t0,Winter,Dinobryon sociale,0,66.08982933,14.64968635,
Cnt_t0,Winter,Gymnodinium,1.628974667,66.08982933,14.64968635,
Cnt_t0,Winter,Chrysochromulina parva,8.377584,66.08982933,14.64968635,
Cnt_t0,Winter,Pyramimonadales,0,66.08982933,14.64968635,
Cnt_t0,Winter,Monoraphidium minutum,3.956081333,66.08982933,14.64968635,
Cnt_t0,Winter,Monoraphidium contortum,0.232710667,66.08982933,14.64968635,
Cnt_t0,Winter,Chlamydomonas,18.61685333,66.08982933,14.64968635,
Cnt_t0,Winter,Cosmarium,0,66.08982933,14.64968635,
Cnt_t0,Winter,Kirchneriella obesa,0,66.08982933,14.64968635,
Cnt_t0,Winter,Raphidocelis,0,66.08982933,14.64968635,
Cnt_t0,Winter,Closterium acutum,5.119634667,66.08982933,14.64968635,
Cnt_t0,Winter,Closterium,0.698132,66.08982933,14.64968635,
Cnt_t0,Winter,Oocystis,0,66.08982933,14.64968635,
Cnt_t0,Winter,Coenococcus planctonicus,0.930842667,66.08982933,14.64968635,
Cnt_t0,Winter,Radiococcus polycoccus,0,66.08982933,14.64968635,
Cnt_t0,Winter,Pennate_cylinder,4.421502667,66.08982933,14.64968635,
Cnt_t0,Winter,Pennate_cylinderLong,0,66.08982933,14.64968635,
Cnt_t0,Winter,Pennate_cylinderSmall,1.628974667,66.08982933,14.64968635,
Cnt_t0,Winter,Pennate_cones,4.188792,66.08982933,14.64968635,
Cnt_t0,Winter,Pennate_conesFat,1.861685333,66.08982933,14.64968635,
Cnt_t0,Winter,Tabellaria fenestrate,0.698132,66.08982933,14.64968635,
Cnt_t0,Winter,Tabellaria flocculosa,0.465421333,66.08982933,14.64968635,
Cnt_t0,Winter,Asterionella formosa,1.861685333,66.08982933,14.64968635,
Cnt_t0,Winter,Aulacoseira alpigena,3.956081333,66.08982933,14.64968635,
Cnt_t0,Winter,Aulacoseira distans,0,66.08982933,14.64968635,
Cnt_t0,Winter,Aulacoseira subarctica,0,66.08982933,14.64968635,
Cnt_t0,Winter,Cyclotella,1.861685333,66.08982933,14.64968635,
Cnt_t24,Autumn,Ciliates,7.214030667,155.9161467,13.41673364,
Cnt_t24,Autumn,Rhodomonas minuta,8.377584,155.9161467,13.41673364,
Cnt_t24,Autumn,Cryptomonas,2.094396,155.9161467,13.41673364,
Cnt_t24,Autumn,Chroomonas,1.163553333,155.9161467,13.41673364,
Cnt_t24,Autumn,Chromulina,0.698132,155.9161467,13.41673364,
Cnt_t24,Autumn,Dinobryon sociale,0.232710667,155.9161467,13.41673364,
Cnt_t24,Autumn,Gymnodinium,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Chrysochromulina parva,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Pyramimonadales,1.396264,155.9161467,13.41673364,
Cnt_t24,Autumn,Monoraphidium minutum,15.358904,155.9161467,13.41673364,
Cnt_t24,Autumn,Monoraphidium contortum,1.628974667,155.9161467,13.41673364,
Cnt_t24,Autumn,Chlamydomonas,7.912162667,155.9161467,13.41673364,
Cnt_t24,Autumn,Cosmarium,0.465421333,155.9161467,13.41673364,
Cnt_t24,Autumn,Kirchneriella obesa,1.861685333,155.9161467,13.41673364,
Cnt_t24,Autumn,Raphidocelis,0.465421333,155.9161467,13.41673364,
Cnt_t24,Autumn,Closterium acutum,35.83744267,155.9161467,13.41673364,
Cnt_t24,Autumn,Closterium,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Oocystis,1.396264,155.9161467,13.41673364,
Cnt_t24,Autumn,Coenococcus planctonicus,0.465421333,155.9161467,13.41673364,
Cnt_t24,Autumn,Radiococcus polycoccus,15.59161467,155.9161467,13.41673364,
Cnt_t24,Autumn,Pennate_cylinder,5.352345333,155.9161467,13.41673364,
Cnt_t24,Autumn,Pennate_cylinderLong,0.465421333,155.9161467,13.41673364,
Cnt_t24,Autumn,Pennate_cylinderSmall,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Pennate_cones,2.327106667,155.9161467,13.41673364,
Cnt_t24,Autumn,Pennate_conesFat,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Tabellaria fenestrate,3.723370667,155.9161467,13.41673364,
Cnt_t24,Autumn,Tabellaria flocculosa,0,155.9161467,13.41673364,
Cnt_t24,Autumn,Asterionella formosa,2.792528,155.9161467,13.41673364,
Cnt_t24,Autumn,Aulacoseira alpigena,4.654213333,155.9161467,13.41673364,
Cnt_t24,Autumn,Aulacoseira distans,1.396264,155.9161467,13.41673364,
Cnt_t24,Autumn,Aulacoseira subarctica,23.736488,155.9161467,13.41673364,
Cnt_t24,Autumn,Cyclotella,9.308426667,155.9161467,13.41673364,
Cnt_t24,Winter,Ciliates,2.792528,80.983312,32.7229594,
Cnt_t24,Winter,Rhodomonas minuta,2.559817333,80.983312,32.7229594,
Cnt_t24,Winter,Cryptomonas,0,80.983312,32.7229594,
Cnt_t24,Winter,Chroomonas,0.232710667,80.983312,32.7229594,
Cnt_t24,Winter,Chromulina,0,80.983312,32.7229594,
Cnt_t24,Winter,Dinobryon sociale,0,80.983312,32.7229594,
Cnt_t24,Winter,Gymnodinium,2.559817333,80.983312,32.7229594,
Cnt_t24,Winter,Chrysochromulina parva,6.748609333,80.983312,32.7229594,
Cnt_t24,Winter,Pyramimonadales,0,80.983312,32.7229594,
Cnt_t24,Winter,Monoraphidium minutum,6.050477333,80.983312,32.7229594,
Cnt_t24,Winter,Monoraphidium contortum,0.232710667,80.983312,32.7229594,
Cnt_t24,Winter,Chlamydomonas,23.736488,80.983312,32.7229594,
Cnt_t24,Winter,Cosmarium,0.232710667,80.983312,32.7229594,
Cnt_t24,Winter,Kirchneriella obesa,0,80.983312,32.7229594,
Cnt_t24,Winter,Raphidocelis,0,80.983312,32.7229594,
Cnt_t24,Winter,Closterium acutum,6.050477333,80.983312,32.7229594,
Cnt_t24,Winter,Closterium,0.465421333,80.983312,32.7229594,
Cnt_t24,Winter,Oocystis,0,80.983312,32.7229594,
Cnt_t24,Winter,Coenococcus planctonicus,0.465421333,80.983312,32.7229594,
Cnt_t24,Winter,Radiococcus polycoccus,0,80.983312,32.7229594,
Cnt_t24,Winter,Pennate_cylinder,7.214030667,80.983312,32.7229594,
Cnt_t24,Winter,Pennate_cylinderLong,0.698132,80.983312,32.7229594,
Cnt_t24,Winter,Pennate_cylinderSmall,0.930842667,80.983312,32.7229594,
Cnt_t24,Winter,Pennate_cones,6.283188,80.983312,32.7229594,
Cnt_t24,Winter,Pennate_conesFat,0.698132,80.983312,32.7229594,
Cnt_t24,Winter,Tabellaria fenestrate,0.232710667,80.983312,32.7229594,
Cnt_t24,Winter,Tabellaria flocculosa,0.698132,80.983312,32.7229594,
Cnt_t24,Winter,Asterionella formosa,1.628974667,80.983312,32.7229594,
Cnt_t24,Winter,Aulacoseira alpigena,3.956081333,80.983312,32.7229594,
Cnt_t24,Winter,Aulacoseira distans,0.930842667,80.983312,32.7229594,
Cnt_t24,Winter,Aulacoseira subarctica,3.257949333,80.983312,32.7229594,
Cnt_t24,Winter,Cyclotella,2.327106667,80.983312,32.7229594,
TotG_t24,Autumn,Ciliates,0.465421333,78.42349467,30.19235936,
TotG_t24,Autumn,Rhodomonas minuta,0.465421333,78.42349467,30.19235936,
TotG_t24,Autumn,Cryptomonas,0,78.42349467,30.19235936,
TotG_t24,Autumn,Chroomonas,0.930842667,78.42349467,30.19235936,
TotG_t24,Autumn,Chromulina,0,78.42349467,30.19235936,
TotG_t24,Autumn,Dinobryon sociale,0,78.42349467,30.19235936,
TotG_t24,Autumn,Gymnodinium,0,78.42349467,30.19235936,
TotG_t24,Autumn,Chrysochromulina parva,0,78.42349467,30.19235936,
TotG_t24,Autumn,Pyramimonadales,0,78.42349467,30.19235936,
TotG_t24,Autumn,Monoraphidium minutum,6.515898667,78.42349467,30.19235936,
TotG_t24,Autumn,Monoraphidium contortum,1.163553333,78.42349467,30.19235936,
TotG_t24,Autumn,Chlamydomonas,0,78.42349467,30.19235936,
TotG_t24,Autumn,Cosmarium,0.698132,78.42349467,30.19235936,
TotG_t24,Autumn,Kirchneriella obesa,0.698132,78.42349467,30.19235936,
TotG_t24,Autumn,Raphidocelis,0.232710667,78.42349467,30.19235936,
TotG_t24,Autumn,Closterium acutum,20.71124933,78.42349467,30.19235936,
TotG_t24,Autumn,Closterium,0,78.42349467,30.19235936,
TotG_t24,Autumn,Oocystis,0.930842667,78.42349467,30.19235936,
TotG_t24,Autumn,Coenococcus planctonicus,1.163553333,78.42349467,30.19235936,
TotG_t24,Autumn,Radiococcus polycoccus,2.327106667,78.42349467,30.19235936,
TotG_t24,Autumn,Pennate_cylinder,1.396264,78.42349467,30.19235936,
TotG_t24,Autumn,Pennate_cylinderLong,0,78.42349467,30.19235936,
TotG_t24,Autumn,Pennate_cylinderSmall,0,78.42349467,30.19235936,
TotG_t24,Autumn,Pennate_cones,2.559817333,78.42349467,30.19235936,
TotG_t24,Autumn,Pennate_conesFat,0,78.42349467,30.19235936,
TotG_t24,Autumn,Tabellaria fenestrate,0,78.42349467,30.19235936,
TotG_t24,Autumn,Tabellaria flocculosa,0,78.42349467,30.19235936,
TotG_t24,Autumn,Asterionella formosa,4.886924,78.42349467,30.19235936,
TotG_t24,Autumn,Aulacoseira alpigena,3.025238667,78.42349467,30.19235936,
TotG_t24,Autumn,Aulacoseira distans,0.232710667,78.42349467,30.19235936,
TotG_t24,Autumn,Aulacoseira subarctica,19.31498533,78.42349467,30.19235936,
TotG_t24,Autumn,Cyclotella,10.70469067,78.42349467,30.19235936,
TotG_t24,Winter,Ciliates,1.861685333,67.25338267,8.784635023,
TotG_t24,Winter,Rhodomonas minuta,1.861685333,67.25338267,8.784635023,
TotG_t24,Winter,Cryptomonas,0,67.25338267,8.784635023,
TotG_t24,Winter,Chroomonas,0,67.25338267,8.784635023,
TotG_t24,Winter,Chromulina,0,67.25338267,8.784635023,
TotG_t24,Winter,Dinobryon sociale,0,67.25338267,8.784635023,
TotG_t24,Winter,Gymnodinium,0.698132,67.25338267,8.784635023,
TotG_t24,Winter,Chrysochromulina parva,2.792528,67.25338267,8.784635023,
TotG_t24,Winter,Pyramimonadales,0,67.25338267,8.784635023,
TotG_t24,Winter,Monoraphidium minutum,3.49066,67.25338267,8.784635023,
TotG_t24,Winter,Monoraphidium contortum,0,67.25338267,8.784635023,
TotG_t24,Winter,Chlamydomonas,17.22058933,67.25338267,8.784635023,
TotG_t24,Winter,Cosmarium,0,67.25338267,8.784635023,
TotG_t24,Winter,Kirchneriella obesa,0,67.25338267,8.784635023,
TotG_t24,Winter,Raphidocelis,0,67.25338267,8.784635023,
TotG_t24,Winter,Closterium acutum,5.352345333,67.25338267,8.784635023,
TotG_t24,Winter,Closterium,0.232710667,67.25338267,8.784635023,
TotG_t24,Winter,Oocystis,0,67.25338267,8.784635023,
TotG_t24,Winter,Coenococcus planctonicus,0,67.25338267,8.784635023,
TotG_t24,Winter,Radiococcus polycoccus,0,67.25338267,8.784635023,
TotG_t24,Winter,Pennate_cylinder,6.283188,67.25338267,8.784635023,
TotG_t24,Winter,Pennate_cylinderLong,0.930842667,67.25338267,8.784635023,
TotG_t24,Winter,Pennate_cylinderSmall,0.465421333,67.25338267,8.784635023,
TotG_t24,Winter,Pennate_cones,3.025238667,67.25338267,8.784635023,
TotG_t24,Winter,Pennate_conesFat,0.465421333,67.25338267,8.784635023,
TotG_t24,Winter,Tabellaria fenestrate,2.559817333,67.25338267,8.784635023,
TotG_t24,Winter,Tabellaria flocculosa,0.465421333,67.25338267,8.784635023,
TotG_t24,Winter,Asterionella formosa,3.723370667,67.25338267,8.784635023,
TotG_t24,Winter,Aulacoseira alpigena,3.49066,67.25338267,8.784635023,
TotG_t24,Winter,Aulacoseira distans,0.232710667,67.25338267,8.784635023,
TotG_t24,Winter,Aulacoseira subarctica,11.170112,67.25338267,8.784635023,
TotG_t24,Winter,Cyclotella,0.930842667,67.25338267,8.784635023,
MicroG_t24,Autumn,Ciliates,3.257949333,114.9590693,36.47920631,
MicroG_t24,Autumn,Rhodomonas minuta,0.930842667,114.9590693,36.47920631,
MicroG_t24,Autumn,Cryptomonas,1.861685333,114.9590693,36.47920631,
MicroG_t24,Autumn,Chroomonas,0.930842667,114.9590693,36.47920631,
MicroG_t24,Autumn,Chromulina,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Dinobryon sociale,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Gymnodinium,0.232710667,114.9590693,36.47920631,
MicroG_t24,Autumn,Chrysochromulina parva,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Pyramimonadales,1.396264,114.9590693,36.47920631,
MicroG_t24,Autumn,Monoraphidium minutum,10.47198,114.9590693,36.47920631,
MicroG_t24,Autumn,Monoraphidium contortum,1.396264,114.9590693,36.47920631,
MicroG_t24,Autumn,Chlamydomonas,8.843005333,114.9590693,36.47920631,
MicroG_t24,Autumn,Cosmarium,1.396264,114.9590693,36.47920631,
MicroG_t24,Autumn,Kirchneriella obesa,7.679452,114.9590693,36.47920631,
MicroG_t24,Autumn,Raphidocelis,0.232710667,114.9590693,36.47920631,
MicroG_t24,Autumn,Closterium acutum,30.48509733,114.9590693,36.47920631,
MicroG_t24,Autumn,Closterium,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Oocystis,1.628974667,114.9590693,36.47920631,
MicroG_t24,Autumn,Coenococcus planctonicus,2.094396,114.9590693,36.47920631,
MicroG_t24,Autumn,Radiococcus polycoccus,4.188792,114.9590693,36.47920631,
MicroG_t24,Autumn,Pennate_cylinder,1.861685333,114.9590693,36.47920631,
MicroG_t24,Autumn,Pennate_cylinderLong,0.465421333,114.9590693,36.47920631,
MicroG_t24,Autumn,Pennate_cylinderSmall,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Pennate_cones,2.327106667,114.9590693,36.47920631,
MicroG_t24,Autumn,Pennate_conesFat,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Tabellaria fenestrate,1.861685333,114.9590693,36.47920631,
MicroG_t24,Autumn,Tabellaria flocculosa,0,114.9590693,36.47920631,
MicroG_t24,Autumn,Asterionella formosa,4.421502667,114.9590693,36.47920631,
MicroG_t24,Autumn,Aulacoseira alpigena,2.094396,114.9590693,36.47920631,
MicroG_t24,Autumn,Aulacoseira distans,0.698132,114.9590693,36.47920631,
MicroG_t24,Autumn,Aulacoseira subarctica,17.4533,114.9590693,36.47920631,
MicroG_t24,Autumn,Cyclotella,6.748609333,114.9590693,36.47920631,
MicroG_t24,Winter,Ciliates,3.141594,95.644084,16.78423163,
MicroG_t24,Winter,Rhodomonas minuta,0.698132,95.644084,16.78423163,
MicroG_t24,Winter,Cryptomonas,0.349066,95.644084,16.78423163,
MicroG_t24,Winter,Chroomonas,0,95.644084,16.78423163,
MicroG_t24,Winter,Chromulina,0,95.644084,16.78423163,
MicroG_t24,Winter,Dinobryon sociale,0,95.644084,16.78423163,
MicroG_t24,Winter,Gymnodinium,1.047198,95.644084,16.78423163,
MicroG_t24,Winter,Chrysochromulina parva,4.886924,95.644084,16.78423163,
MicroG_t24,Winter,Pyramimonadales,0,95.644084,16.78423163,
MicroG_t24,Winter,Monoraphidium minutum,2.792528,95.644084,16.78423163,
MicroG_t24,Winter,Monoraphidium contortum,0.698132,95.644084,16.78423163,
MicroG_t24,Winter,Chlamydomonas,24.43462,95.644084,16.78423163,
MicroG_t24,Winter,Cosmarium,0.349066,95.644084,16.78423163,
MicroG_t24,Winter,Kirchneriella obesa,0,95.644084,16.78423163,
MicroG_t24,Winter,Raphidocelis,0,95.644084,16.78423163,
MicroG_t24,Winter,Closterium acutum,5.23599,95.644084,16.78423163,
MicroG_t24,Winter,Closterium,0,95.644084,16.78423163,
MicroG_t24,Winter,Oocystis,0,95.644084,16.78423163,
MicroG_t24,Winter,Coenococcus planctonicus,0,95.644084,16.78423163,
MicroG_t24,Winter,Radiococcus polycoccus,0,95.644084,16.78423163,
MicroG_t24,Winter,Pennate_cylinder,9.075716,95.644084,16.78423163,
MicroG_t24,Winter,Pennate_cylinderLong,0.698132,95.644084,16.78423163,
MicroG_t24,Winter,Pennate_cylinderSmall,0.698132,95.644084,16.78423163,
MicroG_t24,Winter,Pennate_cones,4.188792,95.644084,16.78423163,
MicroG_t24,Winter,Pennate_conesFat,3.141594,95.644084,16.78423163,
MicroG_t24,Winter,Tabellaria fenestrate,2.094396,95.644084,16.78423163,
MicroG_t24,Winter,Tabellaria flocculosa,0.698132,95.644084,16.78423163,
MicroG_t24,Winter,Asterionella formosa,3.839726,95.644084,16.78423163,
MicroG_t24,Winter,Aulacoseira alpigena,2.094396,95.644084,16.78423163,
MicroG_t24,Winter,Aulacoseira distans,1.047198,95.644084,16.78423163,
MicroG_t24,Winter,Aulacoseira subarctica,21.293026,95.644084,16.78423163,
MicroG_t24,Winter,Cyclotella,3.141594,95.644084,16.78423163,
